,user_id,team_name,mean_points,std_points
0,635385669602095104,Big,126.31731395567576,32.03053429577358
1,1128389988242145280,14 Reaches,123.29893646145878,18.23862459925987
2,1131533321852301312,vincentzhu,120.43767553216485,20.487235641794722
3,996314837284225024,Chase Brown,106.95067286302016,21.77034402088949
4,873068475000782848,Andrew Gay,118.06419894164574,19.805065391245627
5,473528042837241856,"Dicker, I barely know her",118.41439025461823,20.06736020144517
6,1132002915557859328,Moore Brown Boutte!,116.46649570691544,23.88124178284934
7,1133397331543678976,USS Cole,112.09903218194792,20.642584991989622
8,996332115534958592,aaron jones fc,110.91408531591019,24.965927994089476
9,1134024991114149888,Tkota10,141.71202015698998,31.206290886760172
10,1134065492978810880,MARVIN HARRISON,99.39238870563402,16.036714694157844
11,1134218267205193728,Pickens My Nose,110.7336098780666,19.388095691569465
